type,Featureid,Longitude,Latitude,FeatureName
Point,31079,46.6114198,31.3397884,Храм Свт. Миколая Чудотворця Релігійна Громада  УПЦ с. Рибаківка
Point,5969,50.4676219,30.5087958,Храм свт.Димитрия Ростовского и равноапп.Константина и Елены
Point,7127,50.4544245,30.4569039,Храм свт.Луки Крымского (в Пушкинском парке)
Point,7538,50.495135,30.458161,Храм свт.Николая Чудотворца (в приемнике-распределителе ГУВД)
Point,5966,50.4645962,30.5260679,Храм свт.Николая Чудотворца (на водах)
Point,5962,50.470231,30.503472,Храм свт.Николая Чудотворца (на Подоле)
Point,7687,50.702938,30.7454874,Храм свт.Николая Чудотворца (Северное кладбище г.Киева&#044; с.Летки)
Point,7466,50.4759364,30.4451793,Храм свт.Петра Могилы (на Сырце)
Point,7024,50.4567682,30.5068675,Храм свт.Феодосія Чернігівського (Львівська площа)
Point,27548,48.021434,38.622069,Храм Святителей Московских Петра&#044;Алексия&#044;Ионы&#044;Филиппа и Ермогена&#044;город Торез
Point,4005,48.6413807,22.3075743,Храм Святителя Іоанна Шанхайського і Сан-Франциського м. Ужгород
Point,128,48.5874957,38.0089212,Храм святителя Иоанна Златоуста&#044; город Артемовск Донецкой области
Point,30894,44.6804868,34.4040301,Храм Святителя Луки Войно-Ясенецкого  (Православный приход храма Святителя Архиепископа Луки г.Алушта Республики Крым Симферопольской и Крымской Епархии)
Point,26619,49.7188283,37.6070702,"Храм святителя Луки Кримського, місто Куп&prime;янск"
Point,10416,50.437921,30.540257,Храм Святителя Луки&#044; Архиепископа Крымского
Point,4254,50.754194,31.0253933,Храм святителя Миколая селища Калита
Point,27514,48.874164,27.831757,Храм святителя Миколая Чудотворця
Point,27527,49.0747463,27.6736772,Храм святителя Миколая Чудотворця
Point,24354,51.528407,31.278521,Храм Святителя Николая
Point,3432,51.2459862,33.2332134,Храм святителя Николая архиепископа Мир Ликийских чудотворца
Point,22862,48.466825,35.0726,Храм Святителя Николая на Монастырском острове
Point,4668,50.3082152,31.4843713,Храм святителя Софронія Іркутського&#044; місто Березань
Point,877,50.5775732,30.5469261,Храм Святителя Спиридона Епископа Тримифунтского Чудотворца
Point,8114,50.5999495,26.2349272,Храм святих первоверховних апостолів Петра і Павла
Point,4853,51.477429,24.514081,Храм святих рівноапостольних Кирила і Мефодія  УПЦ с. Поліське
Point,22651,50.3416322,26.638615,Храм святої великомучениці Параскеви
Point,25440,49.9341755,28.5438178,Храм Святого апостола євангеліста Іоанна Богослова&#044; с. Скраглівка
Point,8556,48.4815236,34.8527661,Храм Святого Апостола і Євангеліста Іоана Богослова&#044; селище Сухачівка
Point,27500,48.844853,27.639877,Храм святого апостола Іоанна Богослова
Point,4328,50.5251336,30.7975205,Храм святого апостола Іоанна Богослова м. Бровари
Point,4021,49.2254411,23.342535,Храм святого апостола Андрея Первозванного&#044;пгт.Сходница
Point,31201,45.9965085,29.4330746,Храм святого апостола и евангелиста Иоанна Богослова
Point,5493,50.4970221,30.5761474,Храм Святого Апостола и Евангелиста Марка (г.Киев)
Point,5207,48.1639279,37.6460105,Храм Святого апостола Иоанна Богослова пос.Орловка
Point,4262,50.803853,30.132899,Храм святого Архістратига Михаїла с.Катюжанка
Point,27637,45.3723871,36.464089,Храм Святого Архангела Гавриила&#044; г.Керчь
Point,33020,45.4232961,35.8086633,Храм святого благоверного князя Александра Невского
Point,30013,45.4909772,34.8576603,Храм святого благоверного князя Вячеслава Чешского с. Охотское
Point,3000146,49.293267,35.757781,Храм святого великомученика Георгия Победоносца
Point,27515,49.046223,27.585529,Храм Святого Духа
Point,1341,49.958253,36.336683,Храм святого мученика младенца Гавриила Белостокского
Point,11552,50.5081467,30.6255411,Храм святого мученика Трифона
Point,27341,47.1190354,37.6846462,Храм святого равноапостольного князя Владимира
Point,26433,50.0875814,36.2593568,Храм святой благоверной царицы Тамары
Point,28511,50.4483737,30.3588712,Храм святой блаженной Ксении Петербургской на Святошинском кладбище Киева
Point,5744,50.47179,30.47001,Храм Святой великомученицы Варвары
Point,31110,49.9907461,36.2239408,Храм святой княгини Ольги&#044; Харьков
Point,5121,48.208054,37.433364,Храм Святой Ксении Блаженной Петербургской пос.Желанное
Point,660,50.8854699,34.7741745,Храм Святой мученицы Валентины
